model,train_accuracy,train_loss,test_accuracy,epoch
dencenet161,0.8799666666666667,0.5519383782704671,0.9412,0
dencenet161,0.95065,0.2074850424448649,0.9563,1
dencenet161,0.9616,0.15547022377649944,0.9616,2
dencenet161,0.9670666666666666,0.13007670564651488,0.9641,3
dencenet161,0.97015,0.11428593427340189,0.9659,4
dencenet161,0.9724666666666667,0.10320178112983704,0.9672,5
dencenet161,0.9745666666666667,0.09483023126920065,0.9682,6
dencenet161,0.9760166666666666,0.08819163686434428,0.9685,7
dencenet161,0.9773666666666667,0.08274144706726075,0.9692,8
dencenet161,0.9787333333333333,0.07814921501477559,0.9694,9
