model,augmentation,sheduler,time,lr,epoch,train_loss,train_accuracy,val_loss,val_accuracy
features_extraction,bad,None,668.6080641746521,0.1,0,5.7898911555261074,0.11329439294151335,5.539564162191718,0.10432449494949494
features_extraction,bad,None,534.5277729034424,0.1,1,4.597208649831047,0.17259087085689742,3.548468316444243,0.17345328282828282
features_extraction,bad,None,531.5520648956299,0.1,2,4.434634143088061,0.19039256568115112,6.094919356432828,0.15482954545454544
features_extraction,bad,None,531.9835925102234,0.1,3,4.1569407746260865,0.20152100186126423,4.937273973166341,0.2334280303030303
features_extraction,bad,None,534.7888915538788,0.1,4,4.081396350694015,0.2145051095282411,4.1474515416405415,0.22632575757575757
features_extraction,bad,None,534.9510636329651,0.1,5,3.9770966065502584,0.21617733910802492,8.104035814753686,0.19507575757575757
features_extraction,bad,None,532.9692842960358,0.1,6,3.894460453216686,0.2301782071014389,4.751707957097978,0.1597222222222222
features_extraction,bad,None,522.4672574996948,0.1,7,4.01211763261187,0.22557202555658962,3.3765451107362305,0.24794823232323232
features_extraction,bad,None,540.3913969993591,0.1,8,3.8048855081916377,0.23319381308611928,5.9841241517452275,0.17029671717171718
features_extraction,bad,None,542.5288665294647,0.1,9,3.8428510578438706,0.23692305283126924,4.226256341043145,0.2709911616161616
fine_tuning,bad,None,562.7940080165863,0.1,0,5.7898911555261074,0.11329439294151335,5.539564162191718,0.10432449494949494
fine_tuning,bad,None,553.3307118415833,0.1,1,4.597208649831047,0.17259087085689742,3.548468316444243,0.17345328282828282
fine_tuning,bad,None,563.3273451328278,0.1,2,4.434634143088061,0.19039256568115112,6.094919356432828,0.15482954545454544
fine_tuning,bad,None,560.0097081661224,0.1,3,4.1569407746260865,0.20152100186126423,4.937273973166341,0.2334280303030303
fine_tuning,bad,None,556.1818478107452,0.1,4,4.081396350694015,0.2145051095282411,4.1474515416405415,0.22632575757575757
fine_tuning,bad,None,543.3172464370728,0.1,5,3.9770966065502584,0.21617733910802492,8.104035814753686,0.19507575757575757
fine_tuning,bad,None,545.1184396743774,0.1,6,3.894460453216686,0.2301782071014389,4.751707957097978,0.1597222222222222
fine_tuning,bad,None,551.6047546863556,0.1,7,4.01211763261187,0.22557202555658962,3.3765451107362305,0.24794823232323232
fine_tuning,bad,None,617.4062030315399,0.1,8,3.8048855081916377,0.23319381308611928,5.9841241517452275,0.17029671717171718
fine_tuning,bad,None,650.7799022197723,0.1,9,3.8428510578438706,0.23692305283126924,4.226256341043145,0.2709911616161616
